Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR
15/07/2020,18:00,Burnley,Wolves,1,1,D
15/07/2020,18:00,Man City,Bournemouth,2,1,H
15/07/2020,18:00,Newcastle,Tottenham,1,3,A
15/07/2020,20:15,Arsenal,Liverpool,2,1,H
16/07/2020,18:00,Everton,Aston Villa,1,1,D
16/07/2020,18:00,Leicester,Sheffield United,2,0,H
16/07/2020,20:15,Crystal Palace,Man United,0,2,A
16/07/2020,20:15,Southampton,Brighton,1,1,D
17/07/2020,20:00,West Ham,Watford,3,1,H
18/07/2020,17:30,Norwich,Burnley,0,2,A
19/07/2020,14:00,Bournemouth,Southampton,0,2,A
19/07/2020,16:00,Tottenham,Leicester,3,0,H
20/07/2020,18:00,Brighton,Newcastle,0,0,D
20/07/2020,18:00,Sheffield United,Everton,0,1,A
20/07/2020,20:15,Wolves,Crystal Palace,2,0,H
21/07/2020,18:00,Watford,Man City,0,4,A
21/07/2020,20:15,Aston Villa,Arsenal,1,0,H
22/07/2020,18:00,Man United,West Ham,1,1,D
22/07/2020,20:15,Liverpool,Chelsea,5,3,H
26/07/2020,16:00,Arsenal,Watford,3,2,H
26/07/2020,16:00,Burnley,Brighton,1,2,A
26/07/2020,16:00,Chelsea,Wolves,2,0,H
26/07/2020,16:00,Crystal Palace,Tottenham,1,1,D
26/07/2020,16:00,Everton,Bournemouth,1,3,A
26/07/2020,16:00,Leicester,Man United,0,2,A
26/07/2020,16:00,Man City,Norwich,5,0,H
26/07/2020,16:00,Newcastle,Liverpool,1,3,A
26/07/2020,16:00,Southampton,Sheffield United,3,1,H
26/07/2020,16:00,West Ham,Aston Villa,1,1,D
